step,td_loss_agent0,td_loss_agent1,td_loss_agent2,td_loss_agent3,td_loss_agent4
436,0.00601144,0.004523857,0.0070863394,0.0052536484,0.0034246081
437,0.0064895926,0.0071663847,0.004619726,0.0087741595,0.0057280185
438,0.0059815366,0.0083829,0.004941932,0.0064243665,0.007232101
439,0.0043467265,0.007121748,0.0044023823,0.002694731,0.008635559
440,0.0072232187,0.0052659037,0.0056989016,0.0041523376,0.003871827
441,0.0031902771,0.0038233865,0.00460082,0.0031611347,0.0048220535
442,0.006869138,0.00590002,0.007420703,0.0064468523,0.0038489983
443,0.003506557,0.004849892,0.01084295,0.005284247,0.00585347
444,0.0032589545,0.0032593643,0.006026469,0.0054652607,0.0068308543
445,0.005534341,0.0046714596,0.005395518,0.006586963,0.00697959
446,0.003837791,0.003891212,0.009037647,0.0034775478,0.0073600374
447,0.009404287,0.0045677023,0.0030934936,0.0024391753,0.003715913
448,0.003251312,0.004851651,0.004158389,0.0034914152,0.0063279066
449,0.0041978927,0.0011723349,0.005608147,0.0019512316,0.0033924216
